date,open,close,high,low,volume,amount
2024-10-09,4168.84,3955.98,4197.6,3942.51,482269295,1029032062193.4
2024-10-10,3979.61,3997.79,4098.5,3912.77,395053099,717952217512.6
2024-10-11,3969.76,3887.17,3978.24,3847.12,274096505,484998267295.6
2024-10-14,3915.22,3961.34,3979.54,3868.78,307578993,534076602215.5
2024-10-15,3942.53,3855.99,3967.87,3855.99,242486448,434410916723.5
2024-10-16,3806.14,3831.59,3877.75,3805.09,218866407,377301324426.4
2024-10-17,3853.84,3788.22,3882.07,3787.75,212313820,369170521634.5
2024-10-18,3780.31,3925.23,3998.21,3765.16,312958834,620673701894.1
2024-10-21,3946.9,3935.2,3979.26,3896.17,291185634,600109598949.1
2024-10-22,3923.74,3957.78,3965.91,3917.52,223433396,442881846813.7
2024-10-23,3955.32,3973.21,4012.18,3939.1,245873949,469120806272.1
2024-10-24,3950.9,3928.83,3957.98,3914.09,174724062,340486884485.3
2024-10-25,3931.32,3956.42,3992.89,3921.94,210694885,412231378430.4
2024-10-28,3953.11,3964.16,3964.16,3917.2,216160415,390450182338.0
2024-10-29,3970.01,3924.65,3991.31,3921.58,217293984,429625020404.8
2024-10-30,3904.16,3889.45,3926.06,3864.31,219436626,385010582233.2
2024-10-31,3888.42,3891.04,3923.9,3859.11,300636718,515533818945.0
2024-11-01,3882.46,3890.02,3933.22,3879.96,307986481,476472952028.3
2024-11-04,3897.71,3944.76,3944.76,3891.21,229239060,381048606068.1
2024-11-05,3937.62,4044.57,4046.7,3925.41,316862794,580971852723.7
2024-11-06,4051.29,4024.28,4091.7,4002.5,335807938,639124093911.8
2024-11-07,3987.27,4145.7,4146.15,3984.67,341436414,658145920948.1
2024-11-08,4192.08,4104.05,4200.91,4094.16,332350385,688446559772.2
2024-11-11,4066.93,4131.13,4132.51,4048.04,289594227,625605935910.0
2024-11-12,4133.35,4085.74,4181.71,4060.79,297778086,660380524820.6
2024-11-13,4059.59,4110.89,4121.07,4059.59,240484099,512734303119.4
2024-11-14,4101.22,4039.62,4118.17,4034.94,230152784,464157560755.1
2024-11-15,4025.65,3968.83,4049.07,3968.83,247399463,474079686588.2
2024-11-18,3982.1,3950.38,4034.06,3931.19,306777946,472408054830.7
2024-11-19,3954.6,3976.89,3979.15,3896.75,242946465,402610970340.1
2024-11-20,3966.12,3985.77,4001.08,3958.34,184599372,347577693099.5
2024-11-21,3979.46,3989.3,3999.57,3966.07,166125927,324235010779.0
2024-11-22,3984.24,3865.7,3990.26,3865.7,216285809,397566831847.8
2024-11-25,3875.61,3848.09,3889.71,3812.32,190702953,349006773180.1
2024-11-26,3836.26,3840.18,3875.23,3833.28,149892441,264403254830.0
2024-11-27,3829.34,3907.04,3907.16,3817.91,174136096,320632355477.0
2024-11-28,3904.25,3872.55,3908.39,3866.01,150117291,286432871223.5
2024-11-29,3869.89,3916.58,3962.7,3869.89,187656713,375262017919.2
2024-12-02,3909.7,3947.63,3955.13,3902.17,197289784,368591235990.8
2024-12-03,3946.7,3951.89,3963.95,3922.84,182496867,327295048700.8
2024-12-04,3948.13,3930.56,3957.37,3917.75,174626318,312040419081.5
2024-12-05,3916.56,3921.59,3936.34,3910.08,138534038,257716297996.5
2024-12-06,3923.9,3973.14,3995.12,3923.9,192057907,351751735425.0
2024-12-09,3970.66,3966.57,3995.51,3948.42,175959958,308227216702.9
2024-12-10,4094.05,3995.64,4098.38,3988.97,253463795,487278042807.0
2024-12-11,3988.02,3988.83,4005.33,3977.35,177252846,310713317895.4
2024-12-12,3987.15,4028.5,4031.74,3981.35,181621777,333667518401.4
2024-12-13,4000.99,3933.18,4000.99,3931.74,230353079,421478609274.0
2024-12-16,3930.78,3911.84,3938.76,3901.65,178511251,327619081581.3
2024-12-17,3908.13,3922.03,3955.95,3908.13,160939090,306037370846.7
2024-12-18,3934.54,3941.89,3956.14,3933.97,157738321,276825381224.3
2024-12-19,3911.89,3945.46,3954.35,3899.75,161081040,321771606933.4
2024-12-20,3937.47,3927.74,3958.63,3923.26,154986496,332143276397.7
2024-12-23,3928.15,3933.57,3965.85,3928.15,190067362,354063425208.7
2024-12-24,3934.94,3983.69,3985.86,3934.73,161494589,310384873294.2
2024-12-25,3987.96,3985.63,4007.76,3969.48,159390747,299295145793.1
2024-12-26,3981.73,3987.48,3991.53,3965.55,143425286,305769929402.7
2024-12-27,3987.02,3981.03,4007.13,3970.94,169268666,345011075199.0
2024-12-30,3976.7,3999.05,4005.78,3976.7,164612485,322699390191.8
2024-12-31,3995.87,3934.91,4004.35,3934.91,183928397,347880439530.4
2025-01-02,3931.82,3820.4,3934.2,3796.34,217898724,388636586639.3
2025-01-03,3825.24,3775.16,3835.94,3767.67,175342676,304322755435.9
2025-01-06,3775.99,3768.97,3788.85,3743.07,150946670,262803541116.2
2025-01-07,3760.87,3796.11,3797.6,3749.06,146455779,266855795347.4
